"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA","P2_005N","P2_005NA","P2_006N","P2_006NA","P2_007N","P2_007NA","P2_008N","P2_008NA","P2_009N","P2_009NA","P2_010N","P2_010NA","P2_011N","P2_011NA","P2_012N","P2_012NA","P2_013N","P2_013NA","P2_014N","P2_014NA","P2_015N","P2_015NA","P2_016N","P2_016NA","P2_017N","P2_017NA","P2_018N","P2_018NA","P2_019N","P2_019NA","P2_020N","P2_020NA","P2_021N","P2_021NA","P2_022N","P2_022NA","P2_023N","P2_023NA","P2_024N","P2_024NA","P2_025N","P2_025NA","P2_026N","P2_026NA","P2_027N","P2_027NA","P2_028N","P2_028NA","P2_029N","P2_029NA","P2_030N","P2_030NA","P2_031N","P2_031NA","P2_032N","P2_032NA","P2_033N","P2_033NA","P2_034N","P2_034NA","P2_035N","P2_035NA","P2_036N","P2_036NA","P2_037N","P2_037NA","P2_038N","P2_038NA","P2_039N","P2_039NA","P2_040N","P2_040NA","P2_041N","P2_041NA","P2_042N","P2_042NA","P2_043N","P2_043NA","P2_044N","P2_044NA","P2_045N","P2_045NA","P2_046N","P2_046NA","P2_047N","P2_047NA","P2_048N","P2_048NA","P2_049N","P2_049NA","P2_050N","P2_050NA","P2_051N","P2_051NA","P2_052N","P2_052NA","P2_053N","P2_053NA","P2_054N","P2_054NA","P2_055N","P2_055NA","P2_056N","P2_056NA","P2_057N","P2_057NA","P2_058N","P2_058NA","P2_059N","P2_059NA","P2_060N","P2_060NA","P2_061N","P2_061NA","P2_062N","P2_062NA","P2_063N","P2_063NA","P2_064N","P2_064NA","P2_065N","P2_065NA","P2_066N","P2_066NA","P2_067N","P2_067NA","P2_068N","P2_068NA","P2_069N","P2_069NA","P2_070N","P2_070NA","P2_071N","P2_071NA","P2_072N","P2_072NA","P2_073N","P2_073NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Hispanic or Latino","Annotation of  !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:","Annotation of  !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!Population of one race:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Annotation of  !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race",
"0400000US01","Alabama","5024279","null","264047","null","4760232","null","4575614","null","3171351","null","1288159","null","23119","null","75918","null","2612","null","14455","null","184618","null","175750","null","43911","null","77291","null","17974","null","1366","null","22551","null","6012","null","1939","null","456","null","2983","null","201","null","46","null","164","null","520","null","303","null","33","null","8085","null","3986","null","899","null","165","null","573","null","821","null","138","null","295","null","643","null","122","null","33","null","115","null","13","null","72","null","129","null","43","null","20","null","10","null","4","null","0","null","4","null","673","null","232","null","45","null","200","null","66","null","27","null","3","null","32","null","25","null","0","null","3","null","21","null","0","null","2","null","13","null","4","null","108","null","51","null","44","null","9","null","0","null","2","null","2","null","2","null","2","null",
"0400000US02","Alaska","733391","null","49824","null","683567","null","611806","null","421758","null","20731","null","108838","null","43449","null","12455","null","4575","null","71761","null","65654","null","5318","null","36039","null","9310","null","1440","null","7296","null","1916","null","490","null","289","null","283","null","1127","null","558","null","245","null","1229","null","113","null","1","null","5518","null","1728","null","348","null","108","null","115","null","1627","null","314","null","181","null","762","null","41","null","7","null","61","null","31","null","21","null","53","null","4","null","4","null","85","null","5","null","8","null","15","null","505","null","167","null","24","null","37","null","40","null","6","null","7","null","177","null","17","null","1","null","15","null","1","null","2","null","0","null","0","null","11","null","78","null","36","null","20","null","4","null","4","null","12","null","2","null","6","null","6","null",
"0400000US04","Arizona","7151502","null","2192253","null","4959249","null","4692409","null","3816547","null","317161","null","263930","null","248837","null","14323","null","31611","null","266840","null","249130","null","51895","null","67557","null","56082","null","6096","null","47116","null","6515","null","3738","null","726","null","2875","null","995","null","476","null","384","null","3690","null","878","null","107","null","16207","null","5410","null","2611","null","429","null","1044","null","1577","null","309","null","414","null","3328","null","344","null","45","null","200","null","55","null","98","null","158","null","63","null","16","null","77","null","3","null","2","null","24","null","1319","null","484","null","74","null","222","null","170","null","71","null","10","null","187","null","13","null","5","null","29","null","24","null","13","null","5","null","12","null","0","null","175","null","97","null","62","null","8","null","4","null","0","null","4","null","9","null","9","null",
"0400000US05","Arkansas","3011524","null","256847","null","2754677","null","2607520","null","2063550","null","449884","null","20549","null","51210","null","14280","null","8047","null","147157","null","140548","null","27850","null","73015","null","11362","null","1192","null","20613","null","2981","null","798","null","197","null","1438","null","174","null","81","null","115","null","469","null","208","null","55","null","6135","null","3269","null","419","null","89","null","472","null","771","null","91","null","276","null","402","null","116","null","15","null","40","null","9","null","75","null","60","null","10","null","2","null","7","null","4","null","0","null","8","null","409","null","151","null","22","null","120","null","12","null","7","null","0","null","43","null","14","null","8","null","6","null","7","null","7","null","4","null","8","null","0","null","64","null","35","null","21","null","2","null","4","null","2","null","0","null","1","null","1","null",
"0400000US06","California","39538223","null","15579652","null","23958571","null","22330849","null","13714587","null","2119286","null","156085","null","5978795","null","138167","null","223929","null","1627722","null","1500424","null","220162","null","270349","null","563222","null","37904","null","223468","null","29533","null","46247","null","7531","null","28389","null","7321","null","1376","null","1867","null","45831","null","13281","null","3943","null","114216","null","29152","null","19646","null","2618","null","7243","null","13731","null","2114","null","2090","null","25764","null","3812","null","422","null","1806","null","415","null","985","null","2103","null","955","null","256","null","457","null","90","null","23","null","534","null","11705","null","4292","null","632","null","1946","null","1453","null","820","null","86","null","1535","null","206","null","31","null","329","null","161","null","102","null","35","null","62","null","15","null","1247","null","683","null","406","null","65","null","71","null","21","null","1","null","130","null","130","null",
"0400000US08","Colorado","5773714","null","1263390","null","4510324","null","4249526","null","3760663","null","221310","null","33768","null","195220","null","9005","null","29560","null","260798","null","244979","null","42311","null","71858","null","58609","null","4356","null","54422","null","3850","null","3264","null","506","null","2000","null","476","null","134","null","291","null","2155","null","674","null","73","null","14448","null","5013","null","2346","null","244","null","814","null","1608","null","227","null","457","null","2734","null","361","null","58","null","202","null","44","null","71","null","141","null","52","null","8","null","33","null","8","null","0","null","27","null","1197","null","412","null","95","null","181","null","150","null","62","null","20","null","187","null","21","null","7","null","37","null","10","null","3","null","5","null","2","null","5","null","156","null","116","null","24","null","12","null","3","null","1","null","0","null","18","null","18","null",
"0400000US09","Connecticut","3605944","null","623293","null","2982651","null","2845082","null","2279232","null","360937","null","6404","null","170459","null","974","null","27076","null","137569","null","129834","null","30832","null","22929","null","23135","null","778","null","38125","null","4054","null","1798","null","410","null","5592","null","308","null","40","null","187","null","586","null","921","null","139","null","7090","null","3160","null","927","null","63","null","1264","null","370","null","25","null","154","null","425","null","249","null","9","null","122","null","14","null","105","null","27","null","123","null","20","null","7","null","15","null","0","null","11","null","558","null","205","null","33","null","195","null","33","null","44","null","8","null","19","null","2","null","3","null","5","null","8","null","0","null","0","null","2","null","1","null","76","null","47","null","25","null","1","null","2","null","0","null","1","null","11","null","11","null",
"0400000US10","Delaware","989948","null","104290","null","885658","null","842635","null","579851","null","212960","null","2521","null","42398","null","304","null","4601","null","43023","null","40061","null","13511","null","8993","null","5319","null","289","null","6708","null","2453","null","870","null","141","null","1338","null","92","null","1","null","45","null","131","null","160","null","10","null","2742","null","1569","null","367","null","19","null","210","null","150","null","28","null","59","null","151","null","40","null","12","null","63","null","27","null","14","null","14","null","8","null","0","null","0","null","1","null","0","null","10","null","194","null","89","null","8","null","41","null","6","null","17","null","5","null","9","null","0","null","0","null","0","null","0","null","0","null","0","null","16","null","3","null","21","null","8","null","6","null","0","null","7","null","0","null","0","null","5","null","5","null",
"0400000US11","District of Columbia","689545","null","77652","null","611893","null","582408","null","261771","null","282066","null","1277","null","33192","null","349","null","3753","null","29485","null","26897","null","7099","null","1697","null","8414","null","196","null","3702","null","2189","null","1284","null","108","null","1751","null","62","null","18","null","41","null","168","null","165","null","3","null","2335","null","1115","null","350","null","20","null","329","null","70","null","1","null","30","null","134","null","61","null","4","null","54","null","34","null","49","null","32","null","32","null","15","null","2","null","0","null","0","null","3","null","230","null","102","null","5","null","68","null","11","null","34","null","1","null","1","null","0","null","0","null","3","null","4","null","1","null","0","null","0","null","0","null","23","null","13","null","1","null","0","null","4","null","4","null","1","null","0","null","0","null",
"0400000US12","Florida","21538187","null","5697240","null","15840947","null","15048804","null","11100503","null","3127052","null","42169","null","629626","null","11521","null","137933","null","792143","null","748754","null","174146","null","174875","null","113998","null","6677","null","196605","null","16122","null","19349","null","4015","null","29360","null","1487","null","229","null","850","null","3929","null","6152","null","960","null","39297","null","12773","null","8185","null","718","null","4855","null","3442","null","454","null","924","null","3284","null","1625","null","165","null","439","null","94","null","342","null","657","null","951","null","171","null","67","null","42","null","2","null","107","null","3582","null","1287","null","154","null","727","null","276","null","527","null","51","null","209","null","52","null","16","null","72","null","59","null","42","null","12","null","85","null","13","null","472","null","227","null","182","null","17","null","16","null","5","null","25","null","38","null","38","null",
"0400000US13","Georgia","10711908","null","1123457","null","9588451","null","9198318","null","5362156","null","3278119","null","20375","null","475680","null","6101","null","55887","null","390133","null","364408","null","108945","null","100550","null","53152","null","2893","null","46546","null","18303","null","10844","null","1652","null","16359","null","829","null","90","null","402","null","1553","null","2049","null","241","null","23121","null","10993","null","3760","null","417","null","2096","null","1665","null","207","null","503","null","1321","null","439","null","54","null","411","null","93","null","398","null","314","null","307","null","62","null","27","null","17","null","3","null","34","null","2250","null","945","null","108","null","594","null","128","null","164","null","18","null","147","null","23","null","1","null","11","null","34","null","25","null","5","null","45","null","2","null","321","null","141","null","126","null","8","null","8","null","9","null","29","null","33","null","33","null",
